date,period,signal,strategy,cost_bps,gross_return,net_return,turnover,benchmark_return,universe_size,long_count,short_count
1995-03-31,retrospective,QUALITY,continuous_long_short,25.0,-0.023452098118087718,-0.02408781780227584,0.25428787367524863,0.02599901382209638,962,381,581
1995-03-31,retrospective,QUALITY,long_only,0.0,0.006971577344393592,0.006971577344393592,0.14583333333333331,0.02599901382209638,962,192,0
1995-03-31,retrospective,QUALITY,long_only,10.0,0.006971577344393592,0.0068257440110602585,0.14583333333333331,0.02599901382209638,962,192,0
1995-03-31,retrospective,QUALITY,long_only,25.0,0.006971577344393592,0.006606994011060259,0.14583333333333331,0.02599901382209638,962,192,0
1995-03-31,retrospective,QUALITY,long_short,0.0,-0.01341875402258577,-0.01341875402258577,0.28125,0.02599901382209638,962,192,192
1995-03-31,retrospective,QUALITY,long_short,10.0,-0.01341875402258577,-0.01370000402258577,0.28125,0.02599901382209638,962,192,192
1995-03-31,retrospective,QUALITY,long_short,25.0,-0.01341875402258577,-0.01412187902258577,0.28125,0.02599901382209638,962,192,192
1995-03-31,retrospective,SIZE,continuous_long_short,0.0,-0.0077854873779758605,-0.0077854873779758605,0.309546855215847,0.025941267013114035,998,581,417
1995-03-31,retrospective,SIZE,continuous_long_short,10.0,-0.0077854873779758605,-0.008095034233191708,0.309546855215847,0.025941267013114035,998,581,417
1995-03-31,retrospective,SIZE,continuous_long_short,25.0,-0.0077854873779758605,-0.008559354516015479,0.309546855215847,0.025941267013114035,998,581,417
1995-03-31,retrospective,SIZE,long_only,0.0,0.010548985566308927,0.010548985566308927,0.35175879396984927,0.025941267013114035,998,199,0
1995-03-31,retrospective,SIZE,long_only,10.0,0.010548985566308927,0.010197226772339078,0.35175879396984927,0.025941267013114035,998,199,0
1995-03-31,retrospective,SIZE,long_only,25.0,0.010548985566308927,0.009669588581384303,0.35175879396984927,0.025941267013114035,998,199,0
1995-03-31,retrospective,SIZE,long_short,0.0,-0.009936206077732303,-0.009936206077732303,0.45226130653266333,0.025941267013114035,998,199,199
1995-03-31,retrospective,SIZE,long_short,10.0,-0.009936206077732303,-0.010388467384264966,0.45226130653266333,0.025941267013114035,998,199,199
1995-03-31,retrospective,SIZE,long_short,25.0,-0.009936206077732303,-0.011066859344063961,0.45226130653266333,0.025941267013114035,998,199,199
1995-03-31,retrospective,VALUE,continuous_long_short,0.0,0.038654318522524676,0.038654318522524676,0.39079836522621536,0.026300609489274908,944,419,525
1995-03-31,retrospective,VALUE,continuous_long_short,10.0,0.038654318522524676,0.03826352015729846,0.39079836522621536,0.026300609489274908,944,419,525
1995-03-31,retrospective,VALUE,continuous_long_short,25.0,0.038654318522524676,0.037677322609459135,0.39079836522621536,0.026300609489274908,944,419,525
1995-03-31,retrospective,VALUE,long_only,0.0,0.034553025386254564,0.034553025386254564,0.1914893617021276,0.026300609489274908,944,188,0
1995-03-31,retrospective,VALUE,long_only,10.0,0.034553025386254564,0.034361536024552435,0.1914893617021276,0.026300609489274908,944,188,0
1995-03-31,retrospective,VALUE,long_only,25.0,0.034553025386254564,0.03407430198199925,0.1914893617021276,0.026300609489274908,944,188,0
1995-03-31,retrospective,VALUE,long_short,0.0,0.0392735379013312,0.0392735379013312,0.425531914893617,0.026300609489274908,944,188,188
1995-03-31,retrospective,VALUE,long_short,10.0,0.0392735379013312,0.03884800598643758,0.425531914893617,0.026300609489274908,944,188,188
1995-03-31,retrospective,VALUE,long_short,25.0,0.0392735379013312,0.03820970811409716,0.425531914893617,0.026300609489274908,944,188,188
1995-04-28,retrospective,COMPOSITE,continuous_long_short,0.0,-0.01013871491670115,-0.01013871491670115,0.6673728947729969,0.036925164497287916,956,507,449
1995-04-28,retrospective,COMPOSITE,continuous_long_short,10.0,-0.01013871491670115,-0.010806087811474147,0.6673728947729969,0.036925164497287916,956,507,449
1995-04-28,retrospective,COMPOSITE,continuous_long_short,25.0,-0.01013871491670115,-0.011807147153633643,0.6673728947729969,0.036925164497287916,956,507,449
1995-04-28,retrospective,COMPOSITE,long_only,0.0,0.01863610013820955,0.01863610013820955,0.42708333333333337,0.036925164497287916,956,191,0
1995-04-28,retrospective,COMPOSITE,long_only,10.0,0.01863610013820955,0.018209016804876216,0.42708333333333337,0.036925164497287916,956,191,0
1995-04-28,retrospective,COMPOSITE,long_only,25.0,0.01863610013820955,0.017568391804876217,0.42708333333333337,0.036925164497287916,956,191,0
1995-04-28,retrospective,COMPOSITE,long_short,0.0,-0.012952521427532473,-0.012952521427532473,0.7916666666666667,0.036925164497287916,956,191,191
1995-04-28,retrospective,COMPOSITE,long_short,10.0,-0.012952521427532473,-0.013744188094199139,0.7916666666666667,0.036925164497287916,956,191,191
1995-04-28,retrospective,COMPOSITE,long_short,25.0,-0.012952521427532473,-0.01493168809419914,0.7916666666666667,0.036925164497287916,956,191,191
1995-04-28,retrospective,INVESTMENT,continuous_long_short,0.0,-0.006676666033094779,-0.006676666033094779,0.24535707979357435,0.03747442096011361,914,530,384
1995-04-28,retrospective,INVESTMENT,continuous_long_short,10.0,-0.006676666033094779,-0.006922023112888353,0.24535707979357435,0.03747442096011361,914,530,384
1995-04-28,retrospective,INVESTMENT,continuous_long_short,25.0,-0.006676666033094779,-0.007290058732578715,0.24535707979357435,0.03747442096011361,914,530,384
1995-04-28,retrospective,INVESTMENT,long_only,0.0,0.020384468410132254,0.020384468410132254,0.14207650273224054,0.03747442096011361,914,182,0
1995-04-28,retrospective,INVESTMENT,long_only,10.0,0.020384468410132254,0.020242391907400015,0.14207650273224054,0.03747442096011361,914,182,0
1995-04-28,retrospective,INVESTMENT,long_only,25.0,0.020384468410132254,0.020029277153301654,0.14207650273224054,0.03747442096011361,914,182,0
1995-04-28,retrospective,INVESTMENT,long_short,0.0,-0.01681564395487174,-0.01681564395487174,0.2622950819672133,0.03747442096011361,914,182,182
1995-04-28,retrospective,INVESTMENT,long_short,10.0,-0.01681564395487174,-0.017077939036838952,0.2622950819672133,0.03747442096011361,914,182,182
1995-04-28,retrospective,INVESTMENT,long_short,25.0,-0.01681564395487174,-0.017471381659789773,0.2622950819672133,0.03747442096011361,914,182,182
1995-04-28,retrospective,LV,continuous_long_short,0.0,-0.003963695929586765,-0.003963695929586765,0.6010471491385344,0.03676722828218065,977,523,454
1995-04-28,retrospective,LV,continuous_long_short,10.0,-0.003963695929586765,-0.004564743078725299,0.6010471491385344,0.03676722828218065,977,523,454
1995-04-28,retrospective,LV,continuous_long_short,25.0,-0.003963695929586765,-0.005466313802433101,0.6010471491385344,0.03676722828218065,977,523,454
1995-04-28,retrospective,LV,long_only,0.0,0.015842819649694306,0.015842819649694306,0.326530612244898,0.03676722828218065,977,195,0
1995-04-28,retrospective,LV,long_only,10.0,0.015842819649694306,0.015516289037449409,0.326530612244898,0.03676722828218065,977,195,0
1995-04-28,retrospective,LV,long_only,25.0,0.015842819649694306,0.015026493119082062,0.326530612244898,0.03676722828218065,977,195,0
1995-04-28,retrospective,LV,long_short,0.0,-0.01308225446796353,-0.01308225446796353,0.7244897959183675,0.03676722828218065,977,195,195
1995-04-28,retrospective,LV,long_short,10.0,-0.01308225446796353,-0.013806744263881898,0.7244897959183675,0.03676722828218065,977,195,195
1995-04-28,retrospective,LV,long_short,25.0,-0.01308225446796353,-0.01489347895775945,0.7244897959183675,0.03676722828218065,977,195,195
1995-04-28,retrospective,MOM,continuous_long_short,0.0,-0.019416357519709607,-0.019416357519709607,1.1101428067036982,0.036814001249719064,966,443,523
1995-04-28,retrospective,MOM,continuous_long_short,10.0,-0.019416357519709607,-0.020526500326413306,1.1101428067036982,0.036814001249719064,966,443,523
1995-04-28,retrospective,MOM,continuous_long_short,25.0,-0.019416357519709607,-0.022191714536468853,1.1101428067036982,0.036814001249719064,966,443,523
