date,turnover,solver,solver_status,objective_value,exit_turnover,eligible_names,buffered_holdings,minimum_position_cap
2020-08-31,0.45203399527863775,CLARABEL,optimal,0.013559854748658458,0.03061613809746265,228,28,0.0031682926800000004
2020-09-30,0.7486444392080958,CLARABEL,optimal,0.01381667619776611,0.17581329265050474,230,30,0.004767220785000001
2020-10-30,0.45650234350584434,CLARABEL,optimal,0.014483839724336615,0.02276229554343786,231,31,0.002953983
2020-11-30,0.48232891346076257,CLARABEL,optimal,0.014354118128058473,0.08089130226730751,231,31,0.00312336
2020-12-31,0.5580319965362761,CLARABEL,optimal,0.013928751933682421,0.14123625788177024,226,26,0.0052491820799999995
2021-01-29,0.44886819396421296,CLARABEL,optimal,0.013735695018787136,0.09272169719912964,223,23,0.015402324450000001
2021-02-26,0.7499998412314703,CLARABEL,optimal,0.012970426489500277,0.11186047697894327,242,42,0.017731411377260003
2021-03-31,0.7499999811083664,CLARABEL,optimal,0.013860799449455855,0.22649088500194908,238,38,0.012045191359999999
2021-04-30,0.7171552702437229,CLARABEL,optimal,0.01355546283981571,0.05087194055966036,249,49,0.012336113644999999
2021-05-28,0.4778168207525656,CLARABEL,optimal,0.01413263591450446,0.04115268396511067,237,37,0.011797619460000002
2021-06-30,0.35934753774815376,CLARABEL,optimal,0.014662708821586875,0.04000246140982919,225,25,0.01159771959
2021-07-30,0.3754834256249652,CLARABEL,optimal,0.014870297440765354,0.04707610791453039,225,25,0.011016721050000003
2021-08-31,0.5010216171139918,CLARABEL,optimal,0.015730432665543227,0.14300181292260683,220,20,0.010285161700000002
2021-09-30,0.5228871019870058,CLARABEL,optimal,0.01526342647151752,0.13944837635308713,221,21,0.008977956234999999
2021-10-29,0.473657841892025,CLARABEL,optimal,0.014957377706369068,0.04786951506336114,228,28,0.0059229472000000005
2021-11-30,0.6554387295326236,CLARABEL,optimal,0.015151954523715799,0.1486188412753725,220,20,0.005985505425
2021-12-31,0.4935297220575131,CLARABEL,optimal,0.014354624499405035,0.10191666599272231,225,25,0.00686157967
2022-01-31,0.722424510860451,CLARABEL,optimal,0.01447025453013234,0.17420092874419363,226,26,0.0081502423
2022-02-28,0.7499999601790334,CLARABEL,optimal,0.014279046777488313,0.06904681717584328,238,38,0.008248778100000001
2022-03-31,0.7499999667544467,CLARABEL,optimal,0.013901847184501812,0.10201034840546222,237,37,0.00760719576
2022-04-29,0.7089518815645699,CLARABEL,optimal,0.014555829187659682,0.1173850455928834,230,30,0.0067238296
2022-05-31,0.6240897336227007,CLARABEL,optimal,0.015516501588533285,0.1202432816926464,219,19,0.006863993600000001
2022-06-30,0.6739633213170269,CLARABEL,optimal,0.015433031127381628,0.1429364061597198,219,19,0.006559376140000001
2022-07-29,0.5964324700294327,CLARABEL,optimal,0.01569974849134939,0.07855612244187381,216,16,0.006948771200000001
2022-08-31,0.6136399646305082,CLARABEL,optimal,0.01594557570058461,0.0964301538013711,223,23,0.00428053725
2022-09-30,0.45511079009680094,CLARABEL,optimal,0.016076419129567074,0.07526108677000944,213,13,0.006226210240000001
2022-10-31,0.43709916492652867,CLARABEL,optimal,0.016598491834968622,0.05715160721752571,221,21,0.006288780799999999
2022-11-30,0.50482091255919,CLARABEL,optimal,0.016228979536853896,0.019489401868211832,225,25,0.00642176745
2022-12-30,0.4764302038624362,CLARABEL,optimal,0.016323651068968114,0.07299193919126981,218,18,0.005588838620000001
2023-01-31,0.5257826298965295,CLARABEL,optimal,0.016474746804140475,0.05777458607164629,219,19,0.00230487129
2023-02-28,0.7499998742417235,CLARABEL,optimal,0.015517594336738284,0.15059388174735616,225,25,0.00200379174
2023-03-31,0.7499998825662791,CLARABEL,optimal,0.015578310173755393,0.041625242109975556,228,28,0.0022043852400000005
2023-04-28,0.5788194796236987,CLARABEL,optimal,0.01563297681490671,0.029731896378871747,220,20,0.0029786304649999998
2023-05-31,0.5884045188909326,CLARABEL,optimal,0.015357044852162438,0.061105445534492354,226,26,0.007155118095000001
2023-06-30,0.6369878293078566,CLARABEL,optimal,0.015661454224419114,0.08093911667783857,225,25,0.007598139
2023-07-31,0.5899176251554983,CLARABEL,optimal,0.015522329238981758,0.03449077646790998,221,21,0.009859656795000001
2023-08-31,0.5165199993709353,CLARABEL,optimal,0.016218310976117197,0.10365683900927637,215,15,0.00997711068
2023-09-29,0.500262922189728,CLARABEL,optimal,0.015515356055401344,0.0804600064692555,226,26,0.00992109102
2023-10-31,0.5720479982387385,CLARABEL,optimal,0.01508830956628674,0.05850885524973181,229,29,0.006474599100000001
2023-11-30,0.5110966028222224,CLARABEL,optimal,0.015810962877456067,0.0615383794842045,220,20,0.006321005765000001
2023-12-29,0.5385109913873063,CLARABEL,optimal,0.015952034045409916,0.03275228085885125,217,17,0.00467806298
2024-01-31,0.5223478676362514,CLARABEL,optimal,0.015263917382761224,0.1314122632609273,216,16,0.00408521393
2024-02-29,0.6851211523329273,CLARABEL,optimal,0.0154047663610342,0.05268903376949948,224,24,0.0037493137200000004
2024-03-28,0.7029349565662133,CLARABEL,optimal,0.015612191933668503,0.10961184438208271,218,18,0.0037150959300000005
2024-04-30,0.4084200951828758,CLARABEL,optimal,0.016052918397740742,0.07713069367539485,214,14,0.003281157125
2024-05-31,0.46015385604404807,CLARABEL,optimal,0.01578086727212859,0.044071371881458904,220,20,0.0030230226900000005
2024-06-28,0.6984662020002732,CLARABEL,optimal,0.015181448771575942,0.01756934174439477,227,27,0.0040033245000000005
2024-07-31,0.3251662471769948,CLARABEL,optimal,0.016180663756960544,0.06491445322144257,214,14,0.005025391359999999
2024-08-30,0.409350839526437,CLARABEL,optimal,0.015650610418559408,0.043945922211576824,218,18,0.00576334296
2024-09-30,0.33274514240613917,CLARABEL,optimal,0.015887933795648075,0.04000000096361571,217,17,0.005758951320000001
2024-10-31,0.41666174284960034,CLARABEL,optimal,0.015783374705631535,0.006045386869585546,214,14,0.006464325920000001
2024-11-29,0.5238224263684335,CLARABEL,optimal,0.01570859314361921,0.07324633627835683,216,16,0.005792079360000001
